NAME,START,END,Network_Distance,Euclidian_Distance,Difference
MBSS_069 - MBSS_070,MBSS_069,MBSS_070,1009.59,817.93,191.66
MBSS_069 - MBSS_072,MBSS_069,MBSS_072,3689.69,2991.84,697.86
MBSS_069 - MBSS_073,MBSS_069,MBSS_073,13993.68,11059.81,2933.87
MBSS_069 - MBSS_074,MBSS_069,MBSS_074,14830.37,11847.97,2982.4
MBSS_069 - MBSS_075,MBSS_069,MBSS_075,20035.96,13189.56,6846.4
MBSS_069 - MBSS_076,MBSS_069,MBSS_076,11764.26,6997.12,4767.14
MBSS_069 - MBSS_079,MBSS_069,MBSS_079,15520.77,4928.63,10592.14
MBSS_069 - MBSS_080,MBSS_069,MBSS_080,17216.22,3450,13766.22
MBSS_069 - MBSS_081,MBSS_069,MBSS_081,17073.54,3637.83,13435.71
MBSS_069 - MBSS_082,MBSS_069,MBSS_082,14723.86,5191.97,9531.89
MBSS_069 - MBSS_083,MBSS_069,MBSS_083,2087.8,1563.61,524.19
MBSS_069 - MBSS_084,MBSS_069,MBSS_084,20108.54,13845.15,6263.39
MBSS_069 - MBSS_085,MBSS_069,MBSS_085,7799.81,6525.7,1274.11
MBSS_069 - MBSS_086,MBSS_069,MBSS_086,6266.55,4772.97,1493.57
MBSS_069 - MBSS_087,MBSS_069,MBSS_087,24334.48,4531.1,19803.37
MBSS_069 - MBSS_088,MBSS_069,MBSS_088,22463.97,3871.16,18592.81
MBSS_069 - MBSS_089,MBSS_069,MBSS_089,21351.08,3097.97,18253.11
MBSS_069 - MBSS_090,MBSS_069,MBSS_090,10506.64,7439.06,3067.57
MBSS_069 - MBSS_091,MBSS_069,MBSS_091,11298.71,7441.13,3857.58
MBSS_070 - MBSS_072,MBSS_070,MBSS_072,2680.1,2371.18,308.92
MBSS_070 - MBSS_073,MBSS_070,MBSS_073,12984.09,10465.25,2518.84
MBSS_070 - MBSS_074,MBSS_070,MBSS_074,13820.78,11258.99,2561.79
MBSS_070 - MBSS_075,MBSS_070,MBSS_075,19026.37,12507.85,6518.52
MBSS_070 - MBSS_076,MBSS_070,MBSS_076,10754.67,6607.23,4147.44
MBSS_070 - MBSS_079,MBSS_070,MBSS_079,14511.17,4849.14,9662.03
MBSS_070 - MBSS_080,MBSS_070,MBSS_080,16206.62,3550.24,12656.39
MBSS_070 - MBSS_081,MBSS_070,MBSS_081,16063.95,3706.52,12357.43
MBSS_070 - MBSS_082,MBSS_070,MBSS_082,13714.27,4981.48,8732.79
MBSS_070 - MBSS_083,MBSS_070,MBSS_083,3097.39,2285.02,812.37
MBSS_070 - MBSS_084,MBSS_070,MBSS_084,19098.95,13100.23,5998.73
MBSS_070 - MBSS_085,MBSS_070,MBSS_085,6790.22,5907.58,882.63
MBSS_070 - MBSS_086,MBSS_070,MBSS_086,5256.96,4085.09,1171.86
MBSS_070 - MBSS_087,MBSS_070,MBSS_087,23324.88,5328.17,17996.71
MBSS_070 - MBSS_088,MBSS_070,MBSS_088,21454.38,4557.12,16897.25
MBSS_070 - MBSS_089,MBSS_070,MBSS_089,20341.49,3795.06,16546.43
MBSS_070 - MBSS_090,MBSS_070,MBSS_090,9497.04,6966.45,2530.6
MBSS_070 - MBSS_091,MBSS_070,MBSS_091,10289.12,7047.83,3241.29
MBSS_072 - MBSS_073,MBSS_072,MBSS_073,10303.99,8095.62,2208.37
MBSS_072 - MBSS_074,MBSS_072,MBSS_074,11140.68,8888.65,2252.03
MBSS_072 - MBSS_075,MBSS_072,MBSS_075,16346.26,10201.97,6144.29
MBSS_072 - MBSS_076,MBSS_072,MBSS_076,8074.57,4411.3,3663.27
MBSS_072 - MBSS_079,MBSS_072,MBSS_079,11831.07,3490.49,8340.58
MBSS_072 - MBSS_080,MBSS_072,MBSS_080,13526.52,3006.95,10519.57
